Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Nursing Homes Preferred Provider List For Derby and Derbyshire ICB,None,Opportunity,Open,DE1 3QT,"31 July 2026,  5pm",£0 to £1,30 March 2023
CHC Nursing Home Beds Preferred Provider List- NHS BLMK ICB,None,Opportunity,Open,LU1 2LJ,"28 March 2030,  4pm",£0 to £1,30 March 2023
"A DPS for sustainable and ethically sourced goods and services, delivering social value in local communities",None,Opportunity,Open,Any region,"6 May 2028, 12am","£0 to £500,000,000","9 May 2022, last edited 29 March 2023"
"CHC Nursing Home Beds Preferred Provider List- NHS Bedfordshire, Luton and Milton Keynes ICB",None,Opportunity,Open,Any region,"28 March 2030,  4pm",£0 to £1,"18 July 2022, last edited 28 March 2023"
Nursing Homes Preferred Provider List For Derby and Derbyshire ICB,None,Opportunity,Open,East Midlands,"31 July 2026,  5pm",£0 to £1,"9 April 2021, last edited 28 March 2023"
Dynamic Purchasing System (DPS) for the Supply of Electric Vehicle Charging Infrastructure and Associated Services,None,Opportunity,Open,OX1 1BX,"31 August 2025, 12pm",£0,"8 December 2022, last edited 28 March 2023"
Ofgem 2022-175 Hydrogen Likely Areas Study,None,Future opportunity,Open,Any region,Approach to market date25 September 2023,£1,27 March 2023
LPS CAS - Provision of Routine Grounds Maintenance Services - Dynamic Purchasing System - LCC 14079,None,Opportunity,Open,North West,"18 September 2025, 10am","£2,464,000","21 September 2021, last edited 27 March 2023"
T level Professional Development - Future Delivery Options,None,Early engagement,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",31 March 2024,Publication date22 March 2023,None
SOL - Flexible Contracting Arrangement (FCA) for Social Care and Support  Services for Children with Disabilities,None,Opportunity,Open,B91 3QB,"22 September 2023, 12pm","£0 to £2,205,000","15 November 2021, last edited 22 March 2023"
ASC22027 - Residential Replacement (Respite) Care for Older People,None,Opportunity,Open,WR5 2NP,"14 May 2026, 12pm",£0,"24 February 2023, last edited 17 March 2023"
Residential and Nursing Care DPS (Dynamic Purchasing System),None,Opportunity,Open,East Midlands,"30 April 2033, 12pm","£293,000,000 to £293,000,001",17 March 2023
WCC - Dynamic Purchasing System (DPS) for the Provision of Bus Transport Services,None,Opportunity,Open,West Midlands,"17 March 2030, 12pm","£150,000,000","17 March 2023, last edited 17 March 2023"
JAN002LTU Laundry appliances (a managed service),None,Opportunity,Open,LS18 5HD,"21 February 2024, 10am",£0,"6 February 2023, last edited 17 March 2023"
NHS Health Checks DPS/Open Framework,None,Opportunity,Open,HU17 9BA,"31 March 2026,  4:30pm","£1,000",17 March 2023
Opportunities to Improve Attainment and Engage Vulnerable Children and Young People in Education,None,Opportunity,Open,West Midlands,"31 August 2024, 12pm","£1 to £29,000,000","11 May 2022, last edited 15 March 2023"
London and Quadrant Housing Trust - Supply/Distribution of Concrete Blocks Dynamic Purchasing System (DPS,None,Opportunity,Open,E15 4PH,"10 March 2027,  6pm",£0,10 March 2023
MMC Category 2: Panelised Housing Solutions,None,Opportunity,Open,WA2 0YL,"5 May 2026,  4pm","£1 to £600,000,000","4 April 2022, last edited  3 March 2023"
Provision of a Digital Communication application to 2gether support solutions,None,Future opportunity,Open,TN24 0LZ,Approach to market date9 December 2023,"£10,000",2 March 2023
Audio Visual Technical Consultancy & Commissioning,None,Opportunity,Open,United Kingdom,"28 January 2025, 11:59pm","£50,000,000","28 January 2021, last edited  1 March 2023"
P1071 - Recreational and Leisure Activities in Selected Parks,None,Opportunity,Open,B4 7WB,"26 February 2027, 12pm",£0,28 February 2023
P0756A - Dynamic Purchasing System - Working with the private sector and private registered providers to deliver temporary accommodation solutions,None,Opportunity,Open,B4 7DJ,"12 February 2025, 12pm","£0 to £9,516,000","13 February 2023, last edited 27 February 2023"
DPS for Works and Supporting Services,None,Opportunity,Open,Any region,"23 February 2024, 12pm",£0,24 February 2023
YPO - 001086 Apprenticeships,None,Opportunity,Open,United Kingdom,"31 July 2027, 11:59pm","£3,000,000,000 to £10,000,000,000",24 February 2023
NHS Generic Pharmaceuticals - Wave 15c - DLS & DNE,None,Future opportunity,Open,WA7 2ES,Approach to market date1 September 2025,"£260,000,000",24 February 2023
NHS National Transition 2025_1,None,Future opportunity,Open,WA7 2ES,Approach to market date1 December 2024,"£20,000,000",24 February 2023
NHS Generic Pharmaceuticals - Wave 15b - DCE & DSW,None,Future opportunity,Open,WA7 2ES,Approach to market date1 February 2025,"£205,833,000",24 February 2023
NHS Generic Pharmaceuticals Wave 15a - DLN & DNW,None,Future opportunity,Open,WA7 2ES,Approach to market date1 June 2024,"£260,000,000",24 February 2023
Internal Training Provision (Dynamic Purchasing System),None,Opportunity,Open,Yorkshire and the Humber,"31 October 2023, 11:59pm","£545,000 to £1,362,500","15 February 2022, last edited 22 February 2023"
"Asset Decarbonisation and Retrofit Dynamic Purchasing System (E,W&NI)",None,Opportunity,Open,WA2 0YL,"23 August 2027, 12pm","£1 to £950,000,000","23 July 2022, last edited 22 February 2023"
Estates Tender soft market testing,None,Opportunity,Open,London,"26 September 2023, 12am","£40,000,000","21 February 2023, last edited 21 February 2023"
P0504A - Home to Schools Transport Service - Dynamic Purchasing System (DPS) Open,None,Opportunity,Open,B4 7WB,"31 October 2023, 12pm",£0,"5 November 2019, last edited 21 February 2023"
London and Quadrant Housing Trust -  Bricks Distributor Dynamic Purchasing System (DPS),None,Opportunity,Open,E15 4PH,"15 February 2027,  6pm",£0,"16 February 2023, last edited 16 February 2023"
"BSH/HRA/DPS for Provision of Conversion, Extension & Refurbishment, Enabling & Investigation and Specialist Repair Works",None,Opportunity,Open,England,"31 March 2024, 12pm","£2,625,000","13 January 2023, last edited 16 February 2023"
London and Quadrant Housing Trust - Supply/Distribution of Internal Doors Dynamic Purchasing System (DPS),None,Opportunity,Open,E15 4PH,"15 February 2027,  6pm",£0,16 February 2023
"Children's Rights Service, Advocacy and Independent Visitors Scheme",None,Future opportunity,Open,England,Approach to market date1 September 2028,"£681,565",15 February 2023
Robotic Surgical Equipment and Associated Accessories,None,Future opportunity,Open,Any region,Approach to market date9 October 2023,"£500,000,000",14 February 2023
Supported Housing Market Warming,None,Early engagement,Open,SE6 4RU,31 March 2027,Publication date14 February 2023,None
Children in Care & Care Leavers Flexible DPS,None,Opportunity,Open,United Kingdom,"9 February 2030, 12pm",£0,10 February 2023
Digital Inclusion and Support Dynamic Purchasing System,None,Opportunity,Open,"United Kingdom, Isle of Man, Channel Islands","20 June 2024, 11:59pm","£50,000,000","26 May 2020, last edited 10 February 2023"
Insurance Services 3 DPS,None,Opportunity,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","4 February 2028, 11:59pm","£100,000,000","8 January 2020, last edited  9 February 2023"
Dynamic Purchasing System for Supply of Temporary Workers,None,Opportunity,Open,IP1 2BX,"27 January 2025,  4pm","£60,000,000 to £140,000,000",7 February 2023
Adult Influenza Vaccines - Secondary Care,None,Future opportunity,Open,"England, Isle of Man, Channel Islands",Approach to market date1 April 2025,"£16,000,000","4 October 2022, last edited  6 February 2023"
RM6173,None,Opportunity,Open,United Kingdom,"15 November 2023, 12am","£100,000,000","29 April 2022, last edited  6 February 2023"
Grant Administration Services,None,Opportunity,Open,United Kingdom,"18 August 2024,  3pm","£50,000,000","20 August 2020, last edited  6 February 2023"
NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,None,Future opportunity,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",Approach to market date1 February 2025,"£526,598,540","17 March 2022, last edited  3 February 2023"
Operating Theatres Equipment and Related Accessories and Services,None,Future opportunity,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",Approach to market date12 September 2023,"£107,844,000 to £244,254,000",2 February 2023
Mental Health Recovery,None,Opportunity,Open,S60 1AE,"8 May 2028, 12am","£20,000,000",27 January 2023
Wakefield SEN Home to School Taxi & Minibus Contracts DPS,None,Opportunity,Open,LS1 2DE,"31 December 2027, 12am",£0,26 January 2023
"Patient Monitoring Equipment, Related Accessories and Services",None,Future opportunity,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",Approach to market date2 October 2023,"£332,000,000","23 January 2023, last edited 24 January 2023"
Dynamic Purchasing System for the Provision of Passenger Transport (Taxis and Minibuses),None,Opportunity,Open,North East,"11 June 2027, 12pm","£15,000,000 to £18,000,000",20 January 2023
LCC Transport DPS,None,Opportunity,Open,East of England,"8 March 2030, 12pm","£1,680,000,000","8 March 2022, last edited 16 January 2023"
Consumer Insights DPS Framework Contract,None,Early engagement,Open,United Kingdom,31 December 2024,"Publication date2 July 2020, last edited 12 January 2023",None
Adults with Disabilities Pseudo-DPS,None,Opportunity,Open,S1 4PL,"26 March 2033,  9am","£0 to £500,000,000","30 November 2022, last edited 12 January 2023"
SEND Independent School Placements - DPS,None,Opportunity,Open,MK9 3EJ,"21 September 2027, 12pm","£36,000,000 to £36,400,000","26 July 2022, last edited 11 January 2023"
Call for Competition publication - Bus Network,None,Early engagement,Open,London,20 January 2024,Publication date9 January 2023,None
Call for Competition publication - Rail Replacement,None,Early engagement,Open,London,20 January 2024,Publication date9 January 2023,None
YPO - 001148 Drones and Associated Services,None,Opportunity,Open,England,"5 March 2033, 11:59pm","£5,000,000 to £500,000,000",5 January 2023
EOI,None,Early engagement,Open,United Kingdom,31 December 2023,Publication date3 January 2023,None
Design Print and Related Services Dynamic Purchasing System (DPS) for the London Borough of Camden,None,Opportunity,Open,WC1H9JE,"21 January 2029,  5pm","£2,440,000",23 December 2022
UKVI- Life in the UK Testing (STS 24),None,Early engagement,Open,SW1P 4DF,1 February 2024,Publication date23 December 2022,None
Educational and Children's Social Care Professionals,None,Opportunity,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","30 March 2024, 11:59pm","£6,500,000","14 February 2019, last edited 21 December 2022"
"ELECTRONIC MARKET PLACE FOR PROVISION OF ADULT EDUCATION, TRAINING, EMPLOYMENT & LIFELONG LEARNING",None,Opportunity,Open,Yorkshire and the Humber,"31 December 2023,  1pm","£3,750,000","31 August 2022, last edited 20 December 2022"
NHS North of England Branded Medicines - Tranche A- March 2025,None,Future opportunity,Open,WA7 2ES,Approach to market date1 September 2024,"£82,000,000","18 August 2022, last edited  8 December 2022"
NHS Midlands and East Branded Medicines - Tranche B - March 2025,None,Future opportunity,Open,WA7 2ES,Approach to market date1 September 2024,"£245,768,251","18 August 2022, last edited  8 December 2022"
NHS National Proprietary Pharmaceuticals - Category tender,None,Future opportunity,Open,WA7 2ES,Approach to market date1 November 2024,"£428,000,000","18 August 2022, last edited  8 December 2022"
NHS South of England Branded Medicines - Annual Tranche - September 2024,None,Future opportunity,Open,WA7 2ES,Approach to market date1 March 2024,"£153,551,719","12 October 2022, last edited  8 December 2022"
NHS London Branded Medicines - Annual Tranche -September 2024,None,Future opportunity,Open,WA7 2ES,Approach to market date1 March 2024,"£106,823,682","12 October 2022, last edited  8 December 2022"
NHS London Branded Medicines - Tranche A - September 2024,None,Future opportunity,Open,WA7 2ES,Approach to market date1 March 2024,"£47,000,000","12 October 2022, last edited  8 December 2022"
NHS South of England Branded Medicines - Tranche B - September 2024,None,Future opportunity,Open,WA7 2ES,Approach to market date1 March 2024,"£185,103,878","12 October 2022, last edited  8 December 2022"
NHS London Branded Medicines - Annual Tranche -September 2025,None,Future opportunity,Open,WA7 2ES,Approach to market date1 March 2025,"£106,823,682","12 October 2022, last edited  8 December 2022"
NHS South of England Branded Medicines - Annual Tranche - September 2025,None,Future opportunity,Open,WA7 2ES,Approach to market date1 March 2025,"£153,551,719","12 October 2022, last edited  8 December 2022"
NHS London Branded Medicines - Tranche B - September 2025,None,Future opportunity,Open,WA7 2ES,Approach to market date1 March 2025,"£150,000,000","12 October 2022, last edited  8 December 2022"
NHS South of England Branded Medicines - Tranche A - September 2025,None,Future opportunity,Open,WA7 2ES,Approach to market date1 March 2025,"£54,000,000","12 October 2022, last edited  8 December 2022"
NHS National Proprietary Pharmaceuticals,None,Future opportunity,Open,WA7 2ES,Approach to market date1 November 2025,"£1,500,000,000","18 August 2022, last edited  8 December 2022"
SHE Risk Assessment,None,Early engagement,Open,United Kingdom,31 December 2023,"Publication date2 December 2022, last edited  2 December 2022",None
PLACE059 Passenger Transport DPS,None,Opportunity,Open,East Midlands,"28 November 2032, 11:59pm","£300,000,000",1 December 2022
Passenger Transport Dynamic Purchasing System,None,Early engagement,Open,England,30 November 2026,Publication date29 November 2022,None
Dynamic Purchasing System for the Provision of Material Waste Reception Services in Lincolnshire,None,Opportunity,Open,England,"17 November 2032, 11:59pm","£20,000,000",22 November 2022
London and Quadrant Housing Trust - Hoist Hire Dynamic Purchasing System (DPS),None,Opportunity,Open,E15 4PH,"18 November 2026,  6pm",£0,18 November 2022
London and Quadrant Housing Trust - Fuel Dynamic Purchasing System (DPS),None,Opportunity,Open,E15 4PH,"18 November 2026,  6pm",£0,18 November 2022
London and Quadrant Housing Trust - Skips (Waste Management) Dynamic Purchasing System(DPS),None,Opportunity,Open,E15 4PH,"17 November 2026,  6pm",£0,17 November 2022
Upcoming Heathrow Opportunity - Q2 - 2023 - Uniform,None,Opportunity,Open,Any region,"29 December 2023,  3:54pm","£1,000,000 to £2,500,000",15 November 2022
Upcoming Heathrow Opportunities - Q4 - 2023 - Stationary,None,Opportunity,Open,Any region,"29 December 2023,  3:59pm","£150,000 to £250,000",15 November 2022
Upcoming Heathrow Opportunity - Q4 - 2023 - PPE (Personal Protective Equipment),None,Opportunity,Open,Any region,"29 December 2023,  4:02pm","£1,000,000 to £2,500,000",15 November 2022
Upcoming Heathrow Opportunities - Q4 - 2023 - Legal Panel,None,Opportunity,Open,Any region,"29 December 2023,  4:08pm","£1,000,000 to £2,500,000",15 November 2022
Upcoming Heathrow Opportunities - Q4 - 2023 - Environment Services,None,Opportunity,Open,Any region,"29 December 2023,  4:16pm","£2,500,000 to £5,000,000",15 November 2022
Artificial Intelligence Dynamic Purchasing System,None,Opportunity,Open,"United Kingdom, Isle of Man, Channel Islands","4 November 2023, 11:59pm","£200,000,000","5 August 2020, last edited 10 November 2022"
LINC with Dounreay Registration,None,Opportunity,Open,KW14 7TZ,"19 December 2028, 12pm","£2,000,000",10 November 2022
Shropshire and Telford & Wrekin VCSE Mental Health Transformation,None,Opportunity,Open,ST16 3AG,"8 November 2026, 12pm",£1 to £2,9 November 2022
Land and Structural Condition Monitoring,None,Early engagement,Open,United Kingdom,24 November 2023,"Publication date7 November 2022, last edited  7 November 2022",None
Non-Maintained and Independent Special Schools (NMISS) Placement Dynamic Purchasing System (DPS),None,Opportunity,Open,SM4 5DX,"3 April 2028, 12pm","£10,000,000",7 November 2022
RFI: How can UKSA better catalyse investment into the UK space sector,None,Early engagement,Open,SN2 1SZ,28 November 2023,"Publication date3 November 2022, last edited  4 November 2022",None
PURCON 1056 Create Growth DPS,None,Opportunity,Open,NR4 7TJ,"31 March 2025,  5pm",£0,3 November 2022
Adult Community Support and Enablement Service Framework,None,Opportunity,Open,Yorkshire and the Humber,"30 July 2027, 12pm","£0 to £62,279,285",21 October 2022
Berryfields - Buckingham Park Cycleway Construction,None,Early engagement,Open,United Kingdom,12 October 2023,"Publication date14 October 2022, last edited 20 October 2022",None
Radiological Nuclear (RN) Reporting and Alerting Interface,None,Early engagement,Open,SW1P 4DF,31 October 2023,Publication date19 October 2022,None
C19072 Mud Paths and Rescue Sleds,None,Future opportunity,Open,United Kingdom,Approach to market date31 January 2024,"£20,000",4 October 2022
Road Based Passenger Transport Services,None,Opportunity,Open,England,"28 November 2037, 11:59pm","£12,000,000",3 October 2022
16 + year old  Leaving Care & Vulnerable Young People Accommodation & Support Purchasing System,None,Opportunity,Open,Yorkshire and the Humber,"31 December 2032, 11:59pm","£0 to £24,000,000",28 September 2022
WSCC SB Reopening of the Framework for the Provision of Family and Community Support for Children and Young People with Severe and Complex Disabilities and/or Autism,None,Opportunity,Open,PO19 1RQ,"4 September 2025, 12pm","£4,500,000 to £5,000,000","1 September 2021, last edited 16 September 2022"
WSCC GM Framework Reopening for the provision of Accommodation and Support for 16+ Older Looked After Young People and Care Leavers,None,Opportunity,Open,PO19 1RQ,"29 August 2026, 12pm","£44,000,000 to £45,000,000","7 January 2022, last edited 16 September 2022"
WSCC AE Framework Reopening for Urgent and Specialist Personal Support Placements for Children's Services,None,Opportunity,Open,PO19 1RQ,"26 February 2026, 12pm","£8,500,000","7 March 2022, last edited 16 September 2022"
COV - Work Related Learning  DPS 2021,None,Opportunity,Open,CV1 2GN,"31 August 2026,  1pm","£0 to £4,900,000","1 April 2021, last edited 15 September 2022"
Gigabit Infrastructure Subsidy Programme -  Dynamic Purchasing System (DPS),None,Opportunity,Open,SW1A 2BQ,"6 April 2030, 12pm","£2,000,000,000",14 September 2022
Worklessness Support Service,None,Future opportunity,Open,United Kingdom,Approach to market date14 January 2026,"£3,840,000",14 September 2022
Dynamic Purchasing System for Consultancy Services,None,Opportunity,Open,United Kingdom,"7 September 2028,  5pm","£1 to £12,000,000",8 September 2022
HCC - 09/22 - Dynamic Purchasing System (DPS) for the Provision of Local Bus and School Coach Transport Services,None,Opportunity,Open,SG13 8DE,"30 November 2027, 12pm","£40,000,000 to £80,000,000",7 September 2022
YPO - 001117 Fleet Management DPS,None,Opportunity,Open,England,"31 October 2030, 11:59pm","£500,000,000",26 August 2022
"Building Works, Supplies and Services including specialists and consultancy",None,Opportunity,Open,East of England,"15 October 2028,  2pm",£1,25 August 2022
Pan London Postal Contract,None,Future opportunity,Open,England,Approach to market date15 September 2026,"£600,000","22 February 2022, last edited 18 August 2022"
Construction Professional Services DPS,None,Opportunity,Open,United Kingdom,"28 October 2025, 12am","£150,000,000","30 September 2021, last edited 18 August 2022"
PT1331 2022 Passenger Transport - Dynamic Purchasing System,None,Opportunity,Open,England,"30 November 2027, 12pm","£0 to £500,000,000",15 August 2022
London and Quadrant Housing Trust - Combined Mechanical and Electrical Dynamic Purchase System (DPS),None,Opportunity,Open,E15 4PH,"23 December 2024,  6pm",£0,"23 December 2020, last edited 11 August 2022"
North Forest District Planting and Forest Management DPS,None,Opportunity,Open,Any region,"2 August 2030, 12pm","£10,000,000",3 August 2022
Fresh Food DPS,None,Opportunity,Open,Any region,"28 February 2029,  3pm","£200,000,000",2 August 2022
The Micromobility Market and London's Micromobility Future,None,Future opportunity,Open,England,Approach to market date1 April 2025,£0,1 August 2022
DPS - Dynamic Supplier List: Asset Solutions,None,Opportunity,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","29 November 2025, 12pm","£210,000,000","18 April 2019, last edited 29 July 2022"
Adult Learning Classroom Provision 2022 - 2025,None,Future opportunity,Open,Rest of the World,Approach to market date2 June 2025,"£500,000",27 July 2022
Mobile Telephony Services,None,Future opportunity,Open,England,Approach to market date1 August 2024,"£100,000",27 July 2022
Facilities Management DPS,None,Opportunity,Open,SO50 6AD,"14 May 2024, 11:59pm",£0 to £1,"15 May 2020, last edited 27 July 2022"
PAN2497 - Domestic Homicide Review Independent Chair and Author Services,None,Opportunity,Open,East Midlands,"17 June 2026, 12pm","£120,000","1 April 2022, last edited 26 July 2022"
NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,None,Future opportunity,Open,"England, Isle of Man, Channel Islands",Approach to market date1 April 2024,"£16,000,000","17 March 2022, last edited 22 July 2022"
Consultancy Services Dynamic Purchasing System (DPS),None,Early engagement,Open,United Kingdom,31 July 2026,Publication date20 July 2022,None
"DPS for Voluntary, Charitable and Social Enterprises (VCSE's) for ad hoc and lower value Goods, Services and Works",None,Opportunity,Open,England,"18 April 2031, 11:59pm","£5,000,000","2 July 2021, last edited 14 July 2022"
The City of Liverpool College -  Dynamic Purchasing System (DPS) Marketing & Communications,None,Opportunity,Open,L13 0BQ,"31 July 2027, 12pm","£15,000 to £150,000","8 July 2022, last edited 13 July 2022"
New Ferry Development,None,Future opportunity,Open,United Kingdom,Approach to market date1 January 2025,"£22,000,000",13 July 2022
Floating Support Service (Generic),None,Future opportunity,Open,United Kingdom,Approach to market date6 June 2024,"£537,308",12 July 2022
DPS- IAPT,None,Opportunity,Open,West Midlands,"29 March 2024,  3pm","£0 to £600,000","7 April 2022, last edited  8 July 2022"
Application to Join DPS for the Supply of Components to Shelforce -BCC2021002T-2,None,Opportunity,Open,West Midlands,"4 May 2027, 12pm",£0,7 July 2022
NHS National Framework Agreement for the supply of products for the management of Hereditary Angioedema,None,Future opportunity,Open,"England, Scotland, Wales, Northern Ireland, Isle of Man, Channel Islands",Approach to market date1 February 2025,"£74,500,000",5 July 2022
NHA National Framework Agreement for the supply of products for the treatment of Bleeding Disorders including Haemophilia B,None,Future opportunity,Open,"England, Scotland, Wales, Northern Ireland, Isle of Man, Channel Islands",Approach to market date1 February 2024,"£250,000,000",5 July 2022
NHS Framework Agreement for the Supply of Human Albumin,None,Future opportunity,Open,"England, Northern Ireland, Isle of Man, Channel Islands",Approach to market date1 December 2024,"£30,000,000","17 March 2022, last edited  2 July 2022"
"Dynamic Purchasing System for Design, Print and Related Services",None,Opportunity,Open,N22 7TR,"27 July 2026,  5pm","£2,000,000",27 June 2022
Testing Solutions Dynamic Purchasing System (DPS),None,Opportunity,Open,United Kingdom,"11 June 2024, 12pm","£2,000,000,000","13 June 2022, last edited 23 June 2022"
Fostering Panel Chair Person,None,Future opportunity,Open,England,Approach to market date1 January 2024,"£53,020",20 June 2022
LEARNING DISABILITY AND AUTISM PARTNERSHIPS BOARDS,None,Future opportunity,Open,England,Approach to market date1 April 2025,"£75,000",20 June 2022
West England Forest District Planting and Maintenance DPS,None,Opportunity,Open,Any region,"15 June 2030, 12pm","£8,000,000",15 June 2022
Residential and Nursing Home Framework within the Borough of Barnsley,None,Opportunity,Open,Yorkshire and the Humber,"31 March 2024, 12am","£20,000,000 to £100,000,000","19 October 2021, last edited 14 June 2022"
Pseudo-DPS for Apprenticeship Training Provision,None,Opportunity,Open,North East,"1 July 2026, 12pm","£3,250,000","23 September 2021, last edited 10 June 2022"
Responsive Repairs and Voids Sub Contractors,None,Opportunity,Open,North West,"31 August 2032,  4pm","£28,200,000",8 June 2022
LEARNING AND TRAINING DPS (1),None,Opportunity,Open,HU1 2AA,"24 June 2030, 12am","£32,000,000 to £50,000,000","26 May 2022, last edited  7 June 2022"
NHS Health Checks - Approved Supplier List,None,Early engagement,Open,South West,31 March 2025,"Publication date5 June 2020, last edited 16 May 2022",None
KMCCD-010 Standing List of Approved Contractors 2022-2027,None,Opportunity,Open,Yorkshire and the Humber,"15 January 2027,  4pm",£0 to £1,16 May 2022
Communications Marketplace,None,Opportunity,Open,"United Kingdom, Belgium, Denmark, Estonia, Finland, France, Germany, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Spain, Sweden, Switzerland, Turkey, Australia, Bahrain, Central African Republic, Egypt, El Salvador, Ethiopia, Georgia, Ghana, Hong Kong, India, Japan, Kenya, Kuwait, Mali, New Zealand, North Korea, Oman, Qatar, Russia, South Africa, South Korea, Ukraine, United Arab Emirates, United States, Vietnam","5 September 2025, 12am","£260,000,000","5 August 2021, last edited 13 May 2022"
Central Forest District Planting DPS,None,Opportunity,Open,Any region,"14 May 2030, 12pm","£2,000,000",12 May 2022
Wirral Advocacy Hub,None,Future opportunity,Open,United Kingdom,Approach to market date5 February 2025,"£1,173,000",11 May 2022
DPS for Scaffolding and Associated Services,None,Opportunity,Open,Yorkshire and the Humber,"16 May 2026, 11:59pm",£0,10 May 2022
"DPS for Installation, Responsive Repair and Maintenance",None,Opportunity,Open,Yorkshire and the Humber,"10 December 2025, 11:59pm",£0,10 May 2022
DPS for Supply of Building Materials and Associated Goods,None,Opportunity,Open,Yorkshire and the Humber,"25 February 2026, 11:59pm",£0,10 May 2022
DPS for Supply or Supply and Installation of Modular and Portable buildings,None,Opportunity,Open,Yorkshire and the Humber,"16 October 2030, 11:59pm",£0,10 May 2022
DPS For Energy Efficiency Retrofit Installation Contractors,None,Opportunity,Open,Yorkshire and the Humber,"16 May 2026, 11:59pm",£0,10 May 2022
DPS for Compliance Works,None,Opportunity,Open,Yorkshire and the Humber,"10 December 2025, 11:59pm",£0,9 May 2022
Independent Best Interest Assessors,None,Opportunity,Open,Yorkshire and the Humber,"6 November 2025, 12pm","£1 to £660,960",6 May 2022
NHS 111 Dedicated Urgent Dental Care In Hours Hubs Services (4),None,Future opportunity,Open,North East,Approach to market date1 April 2024,"£1,061,374",6 May 2022
Community Dental Services,None,Future opportunity,Open,North East,Approach to market date1 April 2025,"£59,095,768",6 May 2022
NHS 111 Dental Clinical Assessment Services,None,Future opportunity,Open,North East,Approach to market date1 April 2024,"£628,615",6 May 2022
NHS 111 Dedicated Urgent Dental Care In Hours Hubs Services (3),None,Future opportunity,Open,North East,Approach to market date1 April 2024,"£963,696",6 May 2022
NHS 111 Dedicated Urgent Dental Care In Hours Hubs Services,None,Future opportunity,Open,North East,Approach to market date1 December 2024,"£79,730",6 May 2022
Dental Domiciliary Care,None,Future opportunity,Open,North East,Approach to market date1 April 2024,"£1,171,088",6 May 2022
Advanced Dental Sedation Services,None,Future opportunity,Open,North East,Approach to market date30 April 2024,"£3,961,756",6 May 2022
Dynamic Purchasing System - Clinical Trials Services to University of Birmingham,None,Opportunity,Open,B15 2TT,"7 December 2023, 12pm",£0,"12 March 2019, last edited  5 May 2022"
Provision for a Meanwhile Operator for Southall Manor House,None,Future opportunity,Open,W52HL,Approach to market date31 March 2024,"£74,999",4 May 2022
Leasing of Rail Wagons,None,Opportunity,Open,CA6 4SJ,"10 April 2030, 11pm","£0 to £10,000,000",26 April 2022
Effectiveness of Water Treatment Processes in the Removal of EDCs,None,Future opportunity,Open,Any region,Approach to market date20 March 2024,£0,"22 April 2022, last edited 22 April 2022"
Short Date Blood,None,Future opportunity,Open,England,Approach to market date31 March 2024,"£110,000",22 April 2022
Endoscopy Sterilisation Chemicals for use with Steris Reliance PTX Machines,None,Future opportunity,Open,England,Approach to market date30 April 2024,"£170,000 to £190,000",22 April 2022
21034 Social and Education Transport Services Dynamic Purchasing System 2021,None,Opportunity,Open,England,"30 August 2026, 11:59pm","£300,000,000","31 August 2021, last edited 13 April 2022"
"Framework for the provision of General Repairs, Maintenance Services and Energy Improvement Measures",None,Future opportunity,Open,England,Approach to market date1 June 2024,"£2 to £16,600,000",12 April 2022
21129 CCC & PCC Individual Service Funds,None,Opportunity,Open,England,"31 July 2025, 11:30pm","£21,600,000","8 April 2022, last edited  8 April 2022"
DAPL Reopening - Healthcare Services - i-1428,None,Opportunity,Open,England,"31 March 2026, 12pm","£1,275,000",1 April 2022
DAPL Reopening - Primary Care Services - i1429,None,Opportunity,Open,England,"31 March 2026, 12pm","£1,475,000",1 April 2022
London and Quadrant Housing Trust - Fire Engineering and Inspections Dynamic Purchasing System (DPS),None,Opportunity,Open,E15 4PH,"28 March 2032,  6pm",£0,28 March 2022
EN:Procure Green DPS,None,Opportunity,Open,United Kingdom,"18 February 2027, 12am",£0,"28 December 2020, last edited 23 March 2022"
LPS CARE - Pseudo Dynamic Purchasing System for the Provision of Childrens Home Services - RFQ 15315336,None,Opportunity,Open,North West,"29 July 2032, 10am","£530,000,000 to £670,000,000","8 February 2022, last edited 21 March 2022"
YPO - 001110 Emergency Response and Rescue Equipment,None,Opportunity,Open,United Kingdom,"13 June 2032, 11:59pm","£15,000,000 to £40,000,000",15 March 2022
Highways Services - A3 CIVIL AND HIGHWAY ENGINEERING,None,Future opportunity,Open,England,Approach to market date1 January 2025,"£8,000,000",9 March 2022
